binomial2,freq
Ammospermophilus_leucurus,97
Antrozous_pallidus,305
Aplodontia_rufa,117
Callospermophilus_lateralis,771
Canis_latrans,578
Canis_lupus,51
Castor_canadensis,271
Chaetodipus_baileyi,720
Chaetodipus_formosus,545
Chaetodipus_intermedius,565
Chaetodipus_penicillatus,888
Cratogeomys_castanops,485
Cryptotis_parva,279
Cynomys_ludovicianus,47
Didelphis_virginiana,65
Dipodomys_agilis,1069
Dipodomys_merriami,3433
Dipodomys_ordii,624
Eptesicus_fuscus,755
Geomys_bursarius,122
Ictidomys_tridecemlineatus,67
Lontra_canadensis,143
Lynx_rufus,120
Marmota_flaviventris,171
Martes_americana,167
Mephitis_mephitis,49
Microtus_californicus,1273
Microtus_longicaudus,1736
Microtus_montanus,857
Microtus_ochrogaster,1007
Microtus_oregoni,432
Microtus_pennsylvanicus,1114
Microtus_pinetorum,811
Microtus_townsendii,253
Mus_musculus,4069
Mustela_erminea,199
Mustela_frenata,202
Myodes_californicus,276
Myodes_gapperi,3730
Myotis_californicus,442
Myotis_lucifugus,390
Myotis_velifer,483
Myotis_volans,254
Myotis_yumanensis,324
Napaeozapus_insignis,279
Neotoma_albigula,1298
Neotoma_lepida,406
Neotoma_mexicana,279
Neotoma_micropus,337
Neovison_vison,92
Neurotrichus_gibbsii,934
Ochotona_princeps,132
Odocoileus_virginianus,335
Ondatra_zibethicus,262
Perognathus_flavus,730
Perognathus_longimembris,1360
Perognathus_parvus,757
Peromyscus_boylii,2605
Peromyscus_crinitus,1180
Peromyscus_eremicus,2157
Peromyscus_leucopus,4829
Peromyscus_maniculatus,18133
Peromyscus_truei,1961
Phenacomys_intermedius,102
Procyon_lotor,956
Reithrodontomys_fulvescens,633
Reithrodontomys_megalotis,1030
Scapanus_orarius,89
Sciurus_carolinensis,242
Sciurus_griseus,68
Sciurus_niger,237
Sigmodon_arizonae,86
Sigmodon_hispidus,1583
Sorex_cinereus,1481
Sorex_monticolus,2310
Sorex_pacificus,811
Sorex_sonomae,445
Sorex_trowbridgii,4099
Sorex_vagrans,1214
Sylvilagus_audubonii,127
Sylvilagus_floridanus,344
Tamias_amoenus,1203
Tamias_minimus,1171
Tamias_ruficaudus,66
Tamias_striatus,209
Tamias_townsendii,715
Tamias_umbrinus,386
Tamiasciurus_douglasii,474
Tamiasciurus_hudsonicus,571
Taxidea_taxus,49
Thomomys_bottae,952
Thomomys_talpoides,518
Urocitellus_elegans,184
Urocyon_cinereoargenteus,60
Vulpes_macrotis,143
Vulpes_vulpes,93
Zapus_hudsonius,315
Zapus_princeps,878
Zapus_trinotatus,496