binomial2,average_body_mass,hibernation,hibernation_binary,habitat_buffer,buffered_binary,habitat_buffer_three,diurnal_nocturnal,reproductive_rate,reprdocutive_coding,mating_system,average_HB_length
Ammospermophilus_leucurus,103.706078,NONE,N,fossorial,Y,O,diurnal,1-2/year,medium,polygynous,151.0594059
Antrozous_pallidus,17.972536,DT,Y,terrestrial,N,N,nocturnal,1/year,low,polygynandrous,67.09398281
Aplodontia_rufa,999.574545,NONE,N,fossorial,Y,O,nocturnal,1/year,low,NA,303.2025862
Callospermophilus_lateralis,179.013435,HIB,Y,fossorial,Y,O,diurnal,1-2/year,low,polygynous,174.7529412
Canis_latrans,11850.0172,NONE,N,terrestrial,N,N,nocturnal,1/year,low,monogamous,859.496395
Canis_lupus,38105.4385,NONE,N,terrestrial,N,N,both,1/year,low,monogamous,1126.750259
Castor_canadensis,19223.13,NONE,N,fossorial,Y,O,nocturnal,1/year,low,monogamous,745.6466877
Chaetodipus_baileyi,30.181722,NONE,N,fossorial,Y,O,nocturnal,1-2/year,medium,polygynous,91.47311586
Chaetodipus_formosus,17.01338,DT,Y,fossorial,Y,O,nocturnal,1/year,low,NA,81.86288848
Chaetodipus_intermedius,13.504253,DT,Y,fossorial,Y,O,nocturnal,1-3/year,medium,NA,75.72056239
Chaetodipus_penicillatus,16.933869,DT,Y,fossorial,Y,O,nocturnal,1-many/year,high,polygynous,78.39990467
Cratogeomys_castanops,278.628571,NONE,N,subterranean,Y,O,diurnal,2/year,high,polygynous,190.666004
Cryptotis_parva,4.588389,NONE,N,fossorial,Y,F,both,1-3/year,medium,polyandrous,58.9734375
Cynomys_ludovicianus,871.430652,DT,Y,fossorial,Y,O,diurnal,1/year,low,polygynous,292.9891304
Didelphis_virginiana,2750.41629,NONE,N,terrestrial,N,N,nocturnal,1-3/year,medium,polygynous,455.5039063
Dipodomys_agilis,67.351386,NONE,N,fossorial,Y,O,nocturnal,1/year,low,NA,115.672138
Dipodomys_merriami,42.434234,NONE,N,fossorial,Y,O,nocturnal,1-3/year,medium,NA,98.154977
Dipodomys_ordii,65.298832,NONE,N,fossorial,Y,O,nocturnal,1-3/year,medium,NA,113.8455008
Eptesicus_fuscus,15.486446,HIB,Y,terrestrial,N,N,nocturnal,1/year,low,polygynous,68.29319249
Geomys_bursarius,297.65678,NONE,N,subterranean,Y,O,both,1-2/year,low,NA,193.6837607
Ictidomys_tridecemlineatus,127.934601,HIB,Y,fossorial,Y,O,diurnal,1/year,low,polygynous,159.5373134
Lepus_americanus,1523.09896,NONE,N,terrestrial,N,N,both,1-4/year,high,polygynandrous,402.722844
Lontra_canadensis,7843.32445,NONE,N,terrestrial,N,N,both,1/year,low,polygynous,693.2067213
Lynx_rufus,7786.83676,NONE,N,terrestrial,N,N,nocturnal,1/year,low,polygynandrous,694.2292994
Marmota_flaviventris,2928.59182,HIB,Y,fossorial,Y,O,diurnal,1/year,low,polygynous,405.8011416
Marmota_monax,2692.69026,HIB,Y,fossorial,Y,O,diurnal,1/year,low,polygynous,414.7842857
Martes_americana,805.007641,NONE,N,terrestrial,N,N,nocturnal,1/year,low,polygynous,412.9614986
Mephitis_mephitis,2054.79035,NONE,N,terrestrial,N,N,nocturnal,1/year,low,polygynous,374.1037736
Microtus_californicus,41.483016,NONE,N,fossorial,Y,F,both,1-many/year,high,monogamous,122.954197
Microtus_longicaudus,35.708307,NONE,N,terrestrial,N,N,both,1-2/year,low,NA,111.987562
Microtus_montanus,43.980964,NONE,N,fossorial,Y,F,both,1-many/year,high,NA,112.4889277
Microtus_ochrogaster,39.784911,NONE,N,terrestrial,N,N,both,1-many/year,high,monogamous_polygynandrous,111.7452199
Microtus_oregoni,18.671304,NONE,N,terrestrial,N,N,both,1-many/year,high,NA,96.56580407
Microtus_pennsylvanicus,37.314676,NONE,N,terrestrial,N,N,both,1-many/year,high,polygynandrous,112.4166226
Microtus_pinetorum,24.652544,NONE,N,fossorial,Y,O,both,1-many/year,high,monogamous,96.94893378
Microtus_townsendii,58.652208,NONE,N,terrestrial,N,N,both,1-5/year,high,monogamous_polgynous,129.3875899
Mus_musculus,15.488599,NONE,N,terrestrial,N,N,both,1-many/year,high,polygynous,83.78402266
Mustela_erminea,93.113081,NONE,N,terrestrial,N,N,nocturnal,1/year,low,polygynandrous,201.8060345
Mustela_frenata,213.077059,NONE,N,terrestrial,N,N,nocturnal,1/year,low,polygynous,246.4185535
Myodes_californicus,21.557509,NONE,N,terrestrial,N,N,nocturnal,1-many/year,high,NA,99.2
Myodes_gapperi,20.978968,NONE,N,terrestrial,N,N,nocturnal,1-3/year,medium,NA,95.49605199
Myotis_californicus,4.14996,HIB,Y,fossorial,Y,F,nocturnal,1/year,low,NA,43.57293388
Myotis_lucifugus,7.063442,HIB,Y,fossorial,Y,F,nocturnal,1-2/year,low,polygynandrous,50.50381232
Myotis_velifer,8.676283,HIB,Y,fossorial,Y,O,nocturnal,1/year,low,NA,54.9958124
Myotis_volans,6.951926,HIB,Y,fossorial,Y,F,nocturnal,1/year,low,NA,52.36948529
Myotis_yumanensis,5.592408,HIB,Y,fossorial,Y,O,nocturnal,1/year,low,polygynandrous,45.56218274
Napaeozapus_insignis,23.383762,HIB,Y,fossorial,N,F,nocturnal,1-2/year,medium,NA,85.17364017
Neotoma_albigula,174.47975,NONE,N,terrestrial,N,N,nocturnal,1-many/year,high,polygynandrous,177.1074637
Neotoma_lepida,131.836196,NONE,N,terrestrial,N,N,nocturnal,1/year,low,NA,163.1794872
Neotoma_mexicana,159.638197,NONE,N,terrestrial,N,N,nocturnal,1-2/year,low,NA,174.4577259
Neotoma_micropus,235.711806,NONE,N,terrestrial,N,N,nocturnal,1-many/year,high,polygynandrous,194.9171271
Neovison_vison,881.408955,NONE,N,terrestrial,N,N,nocturnal,1/year,low,polygynandrous,392.5970647
Neurotrichus_gibbsii,9.35677,NONE,N,subterranean,Y,O,both,1/year,low,NA,73.40270812
Ochotona_princeps,156.610629,NONE,N,fossorial,Y,O,diurnal,1-2/year,low,monogamous,167.8197674
Odocoileus_hemionus,57219.1395,NONE,N,terrestrial,N,N,both,<1/year,low,polygynous,1438.36129
Odocoileus_virginianus,45521.8202,NONE,N,terrestrial,N,N,both,1/year,low,polygynous,1301.791225
Ondatra_zibethicus,939.264286,NONE,N,fossorial,Y,O,both,2-3 /year,medium,polygynous,293.381223
Perognathus_flavus,7.409195,DT,Y,terrestrial,N,N,nocturnal,1-2/year,low,NA,57.85286783
Perognathus_longimembris,7.738179,HIB,Y,terrestrial,N,N,nocturnal,1-2/year,low,NA,61.48109244
Perognathus_parvus,19.912356,HIB,Y,terrestrial,N,N,nocturnal,1-2/year,low,NA,78.0497006
Peromyscus_boylii,23.279577,DT,Y,terrestrial,N,N,nocturnal,1-many/year,high,polygynandrous,91.63411247
Peromyscus_crinitus,15.07227,DT,Y,terrestrial,N,N,nocturnal,1-many/year,high,polygynous,78.46590909
Peromyscus_eremicus,21.342675,DT,Y,terrestrial,N,N,nocturnal,1-many/year,high,NA,86.55766193
Peromyscus_leucopus,22.122306,DT,Y,terrestrial,N,N,nocturnal,2-4/year,high,polygynandrous,88.37028784
Peromyscus_maniculatus,18.69179,DT,Y,terrestrial,N,N,nocturnal,1-many/year,high,polygynandrous,85.92610185
Peromyscus_truei,23.043285,DT,Y,terrestrial,N,N,nocturnal,1-many/year,high,polygynandrous,91.55666317
Phenacomys_intermedius,27.186968,NONE,N,terrestrial,N,N,nocturnal,1-3/year,medium,NA,104.5543933
Procyon_lotor,4075.38327,NONE,N,terrestrial,N,N,nocturnal,1/year,low,polygynandrous,514.3824274
Puma_concolor,47623.2709,NONE,N,terrestrial,N,N,nocturnal,1/2 years,low,polygynous,1202.741026
Reithrodontomys_fulvescens,12.476932,DT,Y,terrestrial,N,N,nocturnal,1-many/year,high,NA,73.48650927
Reithrodontomys_megalotis,10.777863,DT,Y,terrestrial,N,N,nocturnal,1-many/year,high,polygynous,69.25338983
Scapanus_orarius,56.401786,NONE,N,subterranean,Y,O,both,1/year,low,NA,125.672619
Sciurus_carolinensis,536.384789,NONE,N,terrestrial,N,N,diurnal,1-2/year,low,polygynandrous,254.4839024
Sciurus_griseus,734.136986,NONE,N,terrestrial,N,N,diurnal,1/year,low,NA,287.6527778
Sciurus_niger,655.218766,NONE,N,terrestrial,N,N,diurnal,1-2/year,low,polygynandrous,278.8104348
Sigmodon_arizonae,152.744762,NONE,N,terrestrial,N,N,both,1-many/year,high,NA,161.4736842
Sigmodon_hirsutus,89.030568,NONE,N,terrestrial,N,N,both,1-many/year,high,NA,148.8669528
Sigmodon_hispidus,117.739447,NONE,N,terrestrial,N,N,both,1-many/year,high,polygynous,148.2784031
Sorex_cinereus,3.751739,NONE,N,terrestrial,N,N,nocturnal,2-3/year,medium,NA,56.7023155
Sorex_hoyi,3.708043,NONE,N,fossorial,Y,F,both,1/year,low,NA,58.10454545
Sorex_monticolus,6.270077,NONE,N,terrestrial,N,N,both,1-3/year,medium,NA,66.25014881
Sorex_pacificus,8.471448,NONE,N,terrestrial,N,N,nocturnal,1-2/year,low,NA,71.45644172
Sorex_sonomae,10.115262,NONE,N,terrestrial,N,N,diurnal,1-2/year,low,NA,76.75788288
Sorex_trowbridgii,4.888272,NONE,N,fossorial,Y,F,both,1-2/year,low,NA,62.78451883
Sorex_vagrans,4.938951,NONE,N,terrestrial,N,N,both,2-3/year,medium,NA,60.9144385
Sylvilagus_audubonii,915.676929,NONE,N,terrestrial,N,N,nocturnal,1-5/year,high,NA,314.0674797
Sylvilagus_floridanus,1121.89609,NONE,N,terrestrial,N,N,nocturnal,1-7/year,high,polygynous,355.572209
Tamias_amoenus,46.678817,HIB,Y,fossorial,Y,O,diurnal,1/year,low,polygynandrous,115.8420622
Tamias_minimus,45.132682,HIB,Y,fossorial,Y,O,diurnal,1/year,low,NA,112.1401903
Tamias_ruficaudus,58.773239,HIB,Y,fossorial,Y,O,diurnal,1/year,low,NA,127.0434783
Tamias_striatus,91.026826,HIB,Y,fossorial,Y,O,diurnal,2/year,low,polygynous,149.7609756
Tamias_townsendii,76.11583,HIB,Y,fossorial,Y,O,diurnal,1/year,low,polygynandrous,140.2128099
Tamias_umbrinus,56.659833,HIB,Y,fossorial,Y,O,diurnal,1/year,low,polygynandrous,123.3530769
Tamiasciurus_douglasii,205.051221,NONE,N,terrestrial,N,N,diurnal,1/year,low,monogamous,193.3234127
Tamiasciurus_hudsonicus,223.0814,NONE,N,terrestrial,N,N,diurnal,1-2/year,low,polygynandrous,197.7444708
Taxidea_taxus,6642.72246,NONE,N,fossorial,Y,O,both,1/year,low,polygynandrous,585.8
Thomomys_bottae,117.257043,NONE,N,subterranean,Y,O,both,1/year,low,NA,146.636787
Thomomys_talpoides,92.47672,NONE,N,subterranean,Y,O,both,1/year,low,NA,140.9107527
Urocitellus_elegans,306.236559,HIB,Y,fossorial,Y,O,diurnal,1/year,low,polygynous,218.2608696
Urocyon_cinereoargenteus,3723.09562,NONE,N,terrestrial,N,N,nocturnal,1/year,low,monogamous,569.1754386
Vulpes_macrotis,2236.24872,NONE,N,terrestrial,N,N,nocturnal,1/year,low,monogamous,490.6831081
Vulpes_vulpes,4149.44289,NONE,N,terrestrial,N,N,nocturnal,1/year,low,monogamous,629.4509804
Zapus_hudsonius,19.149905,HIB,Y,fossorial,N,F,nocturnal,2-3/year,medium,NA,83.42353497
Zapus_princeps,24.685551,HIB,Y,fossorial,N,F,nocturnal,2-3/year,medium,NA,91.73591837
Zapus_trinotatus,25.047934,HIB,Y,fossorial,N,F,nocturnal,1/year,low,NA,92.30289116